transcript	logFC	AveExpr	t	P.Value	adj.P.Val	B	DomainType	Coverage_max	Subfamily_hits	Domains
HERVH-int_00333	-9.754098423744736	11.599041454172978	-26.6156839210828	4.684433405637405e-10	2.7825534429486186e-7	12.74182507640629	AP | GAG | INT | RT	0.544	HERVH	AP:0.54 | RT:0.34 | INT:0.20 | GAG:0.10
HERVH-int_01008	-7.909712289224778	12.240555859418599	-23.949675550806845	1.2275552933268674e-9	3.2994480147871115e-7	12.546559625731032	AP | GAG | RT	0.838	HERVH	AP:0.84 | RT:0.37 | GAG:0.11
HERVK14C-int_00013	-8.0653854219674	6.471618571973228	-23.1595058509878	1.6663878862561168e-9	3.2994480147871115e-7	11.3150274449071	ENV	0.325	HERVK14C	ENV:0.33
HERVH-int_00494	-5.80115078813909	13.841496389059934	-21.7202055715046	2.9870162754555965e-9	3.409924955687513e-7	11.955429172923647	AP | INT | RT	0.838	HERVH	AP:0.84 | RT:0.37 | INT:0.20
HERVK14-int_00062	7.842999736022806	6.081032248282014	21.47841816124218	3.3067579990545405e-9	3.409924955687513e-7	10.84621112335638	AP | DUT | GAG | RNaseH | RT	1	HERVK14	RT:1.00 | RNaseH:0.75 | DUT:0.50 | GAG:0.44 | AP:0.39
LTR49-int_00981	-7.423348848006984	6.150304254615705	-21.382207963373407	3.444368642108599e-9	3.409924955687513e-7	10.824204503621935	NA	NA	NA	NA
HERVH-int_00663	-6.334738929794321	10.981778651551053	-20.236625657107997	5.676166501144715e-9	4.816632716685659e-7	11.173600118453246	AP | GAG | INT | RT	0.838	HERVH	AP:0.84 | RT:0.34 | INT:0.15 | GAG:0.13
HERVH-int_00425	-7.475062097202828	6.174474700201011	-19.848562196707732	6.764384653237813e-9	4.953351427858527e-7	10.359090280030673	AP | GAG | INT | RNaseH | RT	0.838	HERVH	AP:0.84 | RNaseH:0.60 | INT:0.44 | RT:0.34 | GAG:0.20
HERVH-int_01221	-6.660061969633125	12.887302488019426	-19.622038818884683	7.505077920997768e-9	4.953351427858527e-7	11.066824625947332	AP | GAG | INT | RT	0.412	HERVH	AP:0.41 | RT:0.37 | INT:0.19 | GAG:0.14
HERVK9-int_00046	-7.182050816781831	6.031906092078562	-19.02838463292883	9.908955514842353e-9	5.502754357695143e-7	10.073904018977023	AP | DUT | GAG | INT | ORFX | RNaseH | RT	0.944	HERVK9	AP:0.94 | DUT:0.73 | ORFX:0.60 | RT:0.54 | RNaseH:0.52 | INT:0.24 | GAG:0.22
HUERS-P2-int_00054	7.160097607133717	5.738457723579092	18.96953138842192	1.0190285847583597e-8	5.502754357695143e-7	10.018889475500002	NA	NA	NA	NA
HERVH-int_01284	-6.088289008690557	5.484744131595759	-14.969529626007036	8.546144673396247e-8	4.2303416133311425e-6	8.342914334836617	AP | GAG | INT | RT	0.794	HERVH	AP:0.79 | RT:0.34 | INT:0.20 | GAG:0.13
HERVH-int_00321	-4.506535980931826	9.628610137152078	-14.430847853403757	1.1842878659422808e-7	5.3778327552153335e-6	8.36469227814908	AP | GAG | INT | RT	0.941	HERVH	AP:0.94 | RT:0.40 | INT:0.21 | GAG:0.13
HERVH-int_00491	-5.8579473937722515	13.154891942275619	-14.321000479410106	1.2675026695793715e-7	5.3778327552153335e-6	8.313463112049075	AP | GAG | INT | RT	0.985	HERVH	AP:0.98 | RT:0.51 | INT:0.15 | GAG:0.14
HERVFH21-int_00071	-6.925644716323383	6.427091152136156	-13.899911288064033	1.6518303588123804e-7	6.541248220897027e-6	7.833268336517633	GAG | INT | RT	0.374	HERVFH21	RT:0.37 | GAG:0.20 | INT:0.19
MST-int_00132	-5.23454102369555	5.056145930040665	-13.565006789113035	2.0499651726382764e-7	7.610495703419601e-6	7.5690366352825205	NA	NA	NA	NA
HERVH-int_00439	-7.762997607297639	8.795686374634386	-13.262345926480597	2.502277024426034e-7	8.299755750666536e-6	7.485891487461467	AP | GAG | INT | RT	0.882	HERVH	AP:0.88 | RT:0.51 | INT:0.16 | GAG:0.12
HERVK9-int_00047	-5.098125708659812	4.984991399683465	-13.254681568381777	2.5150775002019803e-7	8.299755750666536e-6	7.3882199431911335	DUT | GAG	0.388	HERVK9	GAG:0.39 | DUT:0.37
LTR37-int_00583	5.1220262165383295	4.717049936257049	13.10158250620515	2.786521076939311e-7	8.711544840536582e-6	7.275112561079366	NA	NA	NA	NA
MER34B-int_00418	7.048973373534436	6.207390440152642	12.867372612637624	3.266450450221029e-7	9.403564945439913e-6	7.2298132297215805	NA	NA	NA	NA
HERVH-int_00441	-8.227168342391481	9.252945381591811	-12.841648041111345	3.324492657478757e-7	9.403564945439913e-6	7.242792450119644	AP | GAG | GAGCOAT | INT | RT	0.412	HERVH	AP:0.41 | RT:0.37 | INT:0.16 | GAG:0.13 | GAGCOAT:0.03
HERVIP10FH-int_00058	-9.245143954844517	7.5887631883345055	-12.673114554429008	3.7340872417077707e-7	1.0082035552610981e-5	7.122732467169872	ENV | RNaseH	0.279	HERVIP10FH	RNaseH:0.28 | ENV:0.18
HERVH-int_00532	-5.6796261690411445	9.291547249208813	-12.505867348056569	4.19623488667978e-7	1.0752070138573563e-5	7.0900021475688	AP | INT | RT	0.37	HERVH	RT:0.37 | AP:0.28 | INT:0.15
HERVH-int_01319	-5.7936765682617635	7.326296123898451	-12.406392172368292	4.5008042244057356e-7	1.0752070138573563e-5	6.952366876285168	GAG | INT | RT	0.37	HERVH	RT:0.37 | INT:0.21 | GAG:0.12
HERVH-int_01193	-3.68002101947524	14.619279581564157	-12.326891172255795	4.7617651805921124e-7	1.0752070138573563e-5	6.9533999213583595	AP | GAG | INT | RT	0.838	HERVH	AP:0.84 | RT:0.34 | INT:0.19 | GAG:0.13
HERVH-int_00275	-4.8148566025738715	4.842744325410352	-12.271735764568056	4.95259957986317e-7	1.0752070138573563e-5	6.791850815690047	GAG | RT	0.349	HERVH	RT:0.35 | GAG:0.14
HERVH-int_00728	-5.282593490696481	5.071224602501552	-12.263993043992297	4.980057189879991e-7	1.0752070138573563e-5	6.804155204705382	AP | GAG | INT | RT	0.838	HERVH	AP:0.84 | RT:0.34 | INT:0.15 | GAG:0.13
HERVH-int_00534	-5.167683674598498	7.01456240619892	-12.239420174540664	5.068315890236696e-7	1.0752070138573563e-5	6.839495176125604	AP | GAG | INT | RNaseH | RT	0.721	HERVH	AP:0.72 | RNaseH:0.37 | RT:0.25 | INT:0.21 | GAG:0.08
HERVI-int_00023	-5.8548276041918585	5.359087686134106	-12.189242705268471	5.253942732638715e-7	1.076152407995654e-5	6.776837060129003	NA	NA	NA	NA
HERVH-int_00342	-7.33583668825497	6.098903425229755	-11.979546263491939	6.115012917724731e-7	1.2107725577094968e-5	6.671360569037288	AP | ENV | GAG | RT	0.985	HERVH	AP:0.98 | RT:0.37 | ENV:0.35 | GAG:0.14
HERVK11D-int_00015	4.369825575725211	7.795706146325649	11.529614872433713	8.537937210691482e-7	1.6151836331831807e-5	6.3948715291503735	INT | RNaseH | RT	0.794	HERVK11D	RNaseH:0.79 | RT:0.52 | INT:0.19
HERVH-int_01153	-5.681597402011532	5.802841983244665	-11.50451658012718	8.701325970010401e-7	1.6151836331831807e-5	6.330982492220334	GAG | INT | RT	0.2	HERVH	INT:0.20 | RT:0.20 | GAG:0.14
HERVK14-int_00154	5.649862169844482	7.219849110114181	11.429064844805406	9.21361353508033e-7	1.6584504363144594e-5	6.296919431905343	ENV | RNaseH	0.529	HERVK14	RNaseH:0.53 | ENV:0.31
