transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	DomainType	Coverage_max	Subfamily_hits	Domains
HERVH-int_00033	191.8341071382162	2.6496602790569552	0.39184767990271285	6.761964954634432	1.3613263770951277e-11	1.4253087168185987e-8	NA	NA	NA	NA
HERVK3-int_00117	421.42934890246227	2.9167407081106576	0.4751472940217288	6.138603218010273	8.325021321545871e-10	3.443873054827167e-7	AP | DUT | ENV | GAG | RT	0.844	HERVK3	AP:0.84 | RT:0.56 | DUT:0.55 | GAG:0.47 | ENV:0.31
MER4B-int_00084	49.13504915708081	-3.7726650114647327	0.6173025215794132	-6.1115334533416386	9.86783110265664e-10	3.443873054827167e-7	NA	NA	NA	NA
HUERS-P3-int_00177	91.38100167640543	-2.572468676739632	0.42978252845028314	-5.985512454439415	2.1570961479447775e-9	5.646199167245455e-7	AP | GAG | RT	0.412	HUERS-P3	AP:0.41 | RT:0.41 | GAG:0.09
HERV35I-int_00158	568.6917122150445	3.1012336323450573	0.5283975493646215	5.869129476611268	4.380892256448178e-9	9.173588385002485e-7	NA	NA	NA	NA
HERVH-int_00304	22.853916682521938	8.01222081613668	1.376494640853661	5.820742470285056	5.8586782190143905e-9	1.022339349218011e-6	AP | GAG | RNaseH | RT	0.879	HERVH	RNaseH:0.88 | RT:0.64 | AP:0.47 | GAG:0.15
MER66-int_00274	690.8647197515342	4.7599484038957325	0.8365324950562082	5.690093848148604	1.2696956967810818e-8	1.8991019921854182e-6	ENV | GAG | INT	0.14	MER66	ENV:0.14 | GAG:0.12 | INT:0.11
HERVE_a-int_00149	1108.7010573285434	3.3982292554882583	0.6448513880267361	5.269786680442664	1.36582396471718e-7	1.6116468251445257e-5	ENV | GAG | INT | RNaseH | RT	0.993	HERVE_a	RNaseH:0.99 | RT:0.58 | INT:0.40 | GAG:0.33 | ENV:0.14
PRIMA41-int_00176	784.8377400940474	4.481522880502165	0.8508394829819732	5.267177852155593	1.3853697637345493e-7	1.6116468251445257e-5	ENV	0.324	PRIMA41	ENV:0.32
MER50-int_00226	1195.6713301991763	3.8480128721749005	0.7536223144690232	5.106023001569533	3.290096597410201e-7	3.4447311374884803e-5	ENV	0.653	MER50	ENV:0.65
HERVH-int_01349	14.235781671191777	4.062954866264517	0.8101181112077661	5.01526235502531	5.296114850354375e-7	4.620860206934192e-5	AP | ENV | GAG | RNaseH | RT	0.897	HERVH	AP:0.90 | RT:0.59 | RNaseH:0.36 | ENV:0.31 | GAG:0.09
HERVK3-int_00116	78.00251836935108	2.654153328293532	0.5275123645632851	5.031452353710879	4.86778092731134e-7	4.620860206934192e-5	NA	NA	NA	NA
HERV35I-int_00159	102.86374727564838	2.626610399530763	0.5290739468352396	4.964543076147205	6.88630013801556e-7	5.149968746073065e-5	ENV	0.186	HERV35I	ENV:0.19
MER51-int_00145	56.09640718101922	4.326674065409568	0.8707434864468112	4.968942211747295	6.73191271072119e-7	5.149968746073065e-5	NA	NA	NA	NA
LTR23-int_00045	33.78499657156846	-3.378209162501303	0.7043122125672927	-4.796465405856548	1.614898314796153e-6	1.1271990237277148e-4	NA	NA	NA	NA
MER52-int_00010	64.46334100836916	-3.104205963647727	0.6517199824801923	-4.7630977215618415	1.9064345862410706e-6	1.2475231323715006e-4	NA	NA	NA	NA
HERVH-int_00768	28.93802795686914	3.9191974449955698	0.8287053334482888	4.729301582611484	2.2529351305889003e-6	1.310457267625877e-4	AP | GAG | INT | RT	0.971	HERVH	AP:0.97 | RT:0.51 | INT:0.20 | GAG:0.13
HERVK3-int_00096	60.09593101233626	2.8085661857927615	0.5934468679996934	4.732632923414826	2.2162607518364966e-6	1.310457267625877e-4	DUT | GAG	0.507	HERVK3	DUT:0.51 | GAG:0.45
HERVH-int_00032	199.43774182489008	2.4628077458781874	0.5303697992333918	4.643567091184272	3.4244471980334532e-6	1.8870506401794871e-4	AP | INT | RNaseH | RT	0.75	HERVH	RNaseH:0.75 | AP:0.47 | INT:0.29 | RT:0.29
HERVK3-int_00095	190.2364600176333	3.0257637374754016	0.6556259291973237	4.615076376219309	3.92950782015837e-6	2.0570973438529066e-4	AP | DUT | ENV | INT | RNaseH | RT	0.833	HERVK3	AP:0.83 | RNaseH:0.65 | DUT:0.49 | INT:0.44 | RT:0.42 | ENV:0.11
HERVE_a-int_00080	64.00842887599867	-4.141134168443212	0.915299889819677	-4.524346844681753	6.058230402238653e-6	3.0204605862589856e-4	AP | ENV | GAG | INT | RNaseH | RT	1	HERVE_a	AP:1.00 | RNaseH:0.53 | ENV:0.43 | RT:0.32 | INT:0.25 | GAG:0.25
HERVH-int_00786	49.516931944931045	4.643977813576726	1.0356088196241238	4.484297280571893	7.315461514138428e-6	3.481494638774061e-4	AP | GAG | INT | RNaseH | RT	0.864	HERVH	RNaseH:0.86 | AP:0.72 | INT:0.23 | RT:0.20 | GAG:0.11
PRIMA41-int_00112	2154.3379694699847	2.5604760450803545	0.575933664161059	4.445782916353925	8.75723464273834e-6	3.98644550910741e-4	AP | INT | RNaseH | RT	0.864	PRIMA41	RNaseH:0.86 | INT:0.41 | AP:0.29 | RT:0.13
PRIMA41-int_00174	41.26968542572916	3.899063538382088	0.8892049683746213	4.384887261155536	1.1604586330368414e-5	5.062500786623221e-4	NA	NA	NA	NA
HERVL-int_00031	33.12160060034048	2.3824150614288047	0.5444759121279559	4.375611497885547	1.2109252412917637e-5	5.071354910529906e-4	NA	NA	NA	NA
HERVH-int_01368	11.918521943853595	-4.076687036655897	0.9449615197197778	-4.314130206979023	1.6023249330853732e-5	6.165906459419651e-4	AP | GAG | RT	0.794	HERVH	AP:0.79 | RT:0.37 | GAG:0.13
LTR25-int_00188	141.92833202945835	-1.9360376311011787	0.4486315175603268	-4.315429378723581	1.5929297232937715e-5	6.165906459419651e-4	NA	NA	NA	NA
MER51-int_00147	104.52402987875303	3.950774029165872	0.9171235935702656	4.307788019917713	1.648953016845752e-5	6.165906459419651e-4	NA	NA	NA	NA
HERVFH21-int_00085	20.853937138934608	3.5624433202959715	0.8423142034589887	4.229352070363637	2.3436532647101607e-5	8.461396441901857e-4	AP | GAG | INT | RNaseH | RT	0.983	HERVFH21	RT:0.98 | AP:0.84 | RNaseH:0.46 | INT:0.33 | GAG:0.09
HERVFH21-int_00084	10.077636721127366	4.310079517514212	1.0303707230172559	4.183037639979635	2.876397462293381e-5	0.00100386271434039	ENV	0.1	HERVFH21	ENV:0.10
HERV-Fc2-int_00049	13.973029425573143	3.4919492822494234	0.8557323918887376	4.080655722920731	4.4908830540967744e-5	0.0013434155878969494	AP | ENV | GAG | INT | RNaseH | RT	0.971	HERV-Fc2	AP:0.97 | RT:0.45 | INT:0.33 | RNaseH:0.28 | GAG:0.14 | ENV:0.10
HERV16-int_01094	41.58988822579816	2.3678183846968768	0.5771732026849901	4.102439915231453	4.088160395755652e-5	0.0013434155878969494	NA	NA	NA	NA
HERVH-int_00329	51.66921778535085	3.9044292963768146	0.9552347091277072	4.08740308436052	4.36228813512042e-5	0.0013434155878969494	AP | INT | RNaseH | RT	0.985	HERVH	AP:0.98 | RNaseH:0.55 | RT:0.51 | INT:0.20
HERVIP10FH-int_00328	1238.727522268146	5.209293339842314	1.2765790463859512	4.080666492678257	4.490674962458541e-5	0.0013434155878969494	NA	NA	NA	NA
MER50-int_00227	71.32293726165064	4.191026927324239	1.026408383756872	4.0831963121581225	4.442046731303171e-5	0.0013434155878969494	NA	NA	NA	NA
HERVE-int_00059	152.91851059173425	2.3552784180998767	0.5815351091298743	4.0501052836241955	5.1194594634820324e-5	0.0014889094606293576	AP | ENV | GAG | INT | RNaseH | RT	1	HERVE	AP:1.00 | RNaseH:1.00 | RT:1.00 | INT:0.62 | GAG:0.56 | ENV:0.49
HERVE_a-int_00094	23.42465005491592	3.40984897997322	0.8516923104544935	4.003616022027489	6.238158568812849e-5	0.001653077070899739	NA	NA	NA	NA
HERVH-int_00387	31.064729742071687	3.84737124217437	0.9589058214679727	4.012251418272229	6.014239617562495e-5	0.001653077070899739	AP | ENV | GAG | INT | RNaseH | RT	0.824	HERVH	AP:0.82 | RT:0.50 | RNaseH:0.43 | INT:0.18 | GAG:0.12 | ENV:0.09
